"batch","feather_id","feather_id_new","feather_year_sampled","feather_date","box","JID","BTO","feather_length","feather_weight","extraction_weight_g","extraction_weight_mg","extraction_volume_ml","evaporation_volume_ml","assaybuffer_ml","dilution","CORT_pg.mL","CORT_pg.dL","CORT_pg.mg","CORT_pg.mg.1","site","sex","bite","box_year","feather_year_grown","year_diff","age_2022","age","JID_year_before","JID_year_grown","JID_year_sampled","tarsus_year_before","weight_year_before","tarsus_year_grown","weight_year_grown","tarsus_year_sampled","weight_year_sampled","tarsus","weight","box_grown","box_grown_year","box_owner_grown","partner_yr_before","partner_yr_grown","partner_yr_sampled","pair_ID_yr_before","pair_ID","pair_ID_year","pbvid","body_cond","body_cond_binary","body_cond_binary_num","sex_num","pbvid_mean","pair_ID2","box_density","box_density_cat","mean_tarsus","pair_ID_year2","mean_weight","mean_body_cond","pair_ID_yr_sampled2","feather_year_before","pair_ID_yr_before2","pbvid_mean_yr_before","pbvid_mean_yr_grown","pbvid_mean_yr_sampled","paired_year","repaired_year","feather_year_grown_paired","feather_year_grown_repaired","partner_samediff1","partner_samediff2","partner_samediff3","partner_same","disturbance","body_cond_early","brood_size_early","site_early","site_change","body_cond_c","age_c","body_cond_noNA","pair_ID_yr_sampled","pbvid_mean_c","clutch_size_yr_grown","fledge_nr_yr_grown","fledge_weight_yr_grown","clutch_size_yr_sampled","fledge_nr_yr_sampled","fledge_weight_yr_sampled","fledge_nr","fledge_weight","body_cond_z","age_z"
"A",43,"A43",2017,"23/06/2017","Z25","J1360","EZ25517",11.6,0.1016,0.0976,97.6,3,2,0.25,1,1346.6,0.1347,5.17,5.17,"Z","M",1.75,"Z25_2017","2016",6,9,3,"J1360_2015","J1360_2016","J1360_2017",42.4,233,NA,NA,42.9,223.6,42.65,228.3,"Z25","Z25_2016","owner","J912","J912","J912","J912 J1360","J912 J1360","J912 J1360_2016",NA,-4.82833146399379,"negative",0,1,0.0005770141264,"J912J1360",5,"Medium",42.7,"J912J1360_2016",230.1,-2.85012359832685,"J912J1360_2017",2015,"J912J1360_2015",0.05770141264,NA,NA,NA,NA,NA,NA,1,1,1,3,"High",NA,NA,NA,NA,-4.81536992996893,-1.85542168674699,-4.82833146399379,"J912 J1360",-0.0788252529873624,5,2,420.6,5,3,518,2.5,469.3,-0.291635374934005,-0.795980004360561
"A",44,"A44",2018,"20/05/2018","Z16","J572","EY69519",11,0.0822,0.0931,93.1,3,2,0.25,1,549.8,0.055,2.21,2.21,"Z","F",NA,"Z16_2018","2017",5,10,5,"J572_2016","J572_2017","J572_2018",NA,NA,NA,NA,40.5,213.9,40.5,213.9,"Z16","Z16_2017","owner","J257","J257","J257","J572 J257","J572 J257","J572 J257_2017",NA,-4.60993439140512,"negative",0,0,0.08418737505,"J572J257",3,"Medium",40.55,"J572J257_2017",210.425,-10.8468045286807,"J572J257_2018",2016,"J572J257_2016",NA,NA,0.08418737505,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,-4.59697285738026,0.144578313253012,-4.60993439140512,"J572 J257",0.00478510793623764,5,2,467.4,5,1,224.4,1.5,345.9,-0.278408496609976,0.0620244159241996
"A",45,"A45",2019,"04/06/2019","Z16","J257","EY40949",12.1,0.106,0.0985,98.5,3,2,0.25,1,781,0.0781,2.97,2.97,"Z","M",NA,"Z16_2019","2018",4,10,6,"J257_2017","J257_2018","J257_2019",NA,NA,NA,NA,43.9,259.6,43.9,259.6,"Z16","Z16_2018","owner","J572","J572","J572","J572 J257","J572 J257","J572 J257_2018",0.08418737505,17.9726004705477,"positive",1,1,0.08418737505,"J572J257",3,"Medium",43.5,"J572J257_2018",258.4,20.9195814239232,"J572J257_2019",2017,"J572J257_2017",NA,0.08418737505,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,17.9855620045726,1.14457831325301,17.9726004705477,"J572 J257",0.00478510793623764,5,1,224.4,5,2,382,1.5,303.2,1.08926753185838,0.49102662606658
"A",46,"A46",2018,"02/05/2018","Z15","J164","EY40955",12.3,0.1072,0.1045,104.5,3,2,0.25,1,1618.1,0.1618,5.81,5.81,"Z","F",NA,"Z15_2018","2017",5,10,5,"J164_2016","J164_2017","J164_2018",NA,NA,NA,NA,42.1,217.3,42.1,217.3,NA,"NA_2017","non-owner","J831",NA,"J831","J164 J831",NA,"NA_2017",NA,-12.088741515192,"negative",0,0,0.2850213897,NA,NA,NA,43,"NA_2017",220.6,-13.2560772121113,"J164J831_2018",2016,"J164J831_2016",NA,NA,0.2850213897,NA,NA,NA,NA,1,1,1,3,NA,16.31784567,1,"Z","same_site",-12.0757799811671,0.144578313253012,-12.088741515192,"J164 J831",0.205619122586238,NA,NA,NA,5,2,418.1,2,418.1,-0.731350794154034,0.0620244159241996
"A",47,"A47",2018,"21/05/2018","Z10","J42","EY40834",10.9,0.082,0.0703,70.3,3,2,0.25,1,1023.2,0.1023,5.46,5.46,"Z","F",0,"Z10_2018","2017",5,11,6,"J42_2016","J42_2017","J42_2018",40.6,209.7,NA,NA,40,204.9,40.3,207.3,"Z10","Z10_2017","owner","J1351","J1351","J1351","J42 J1351","J42 J1351","J42 J1351_2017",NA,-9.85008350093172,"negative",0,0,0.08947889065,"J42J1351",4,"Medium",41.1166666666667,"J42J1351_2017",201.516666666667,-14.5440015561048,"J42J1351_2018",2016,"J42J1351_2016",NA,NA,0.08947889065,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,-9.83712196690686,1.14457831325301,-9.85008350093172,"J42 J1351",0.0100766235362376,4,3,654.1,4,2,510.1,2.5,582.1,-0.595769960524908,0.49102662606658
"A",48,"A48",2018,"20/05/2018","Z05","J2951","EZ62436",11.7,0.1005,0.0929,92.9,3,2,0.25,1,886.8,0.0887,3.58,3.58,"Z","F",0.5,"Z05_2018","2017",5,7,2,"J2951_2016","J2951_2017","J2951_2018",NA,NA,NA,NA,44.5,250.6,44.5,250.6,NA,"NA_2017","non-owner",NA,NA,"J2966",NA,NA,"NA_2017",NA,4.89304779912755,"positive",1,0,0.05423181974,NA,NA,NA,43.25,"NA_2017",241.175,5.506752105906,"J2951J2966_2018",2016,"NA_2016",NA,NA,0.05423181974,NA,2020,NA,-3,1,1,1,3,NA,NA,NA,NA,NA,4.90600933315241,-2.85542168674699,4.89304779912755,"J2951 J2966",-0.0251704473737624,NA,NA,NA,5,2,475,2,475,0.297124809124034,-1.22498221450294
"A",49,"A49",2018,"21/05/2018","Y35","J793","EY69525",11.5,0.0939,0.0818,81.8,3,2,0.25,1,1171.2,0.1171,5.37,5.37,"Y","F",NA,"Y35_2018","2017",5,11,6,"J793_2016","J793_2017","J793_2018",NA,NA,NA,NA,43.3,235.7,43.3,235.7,"Y35","Y35_2017","owner","J1352","J1352","J1352","J793 J1352","J793 J1352","J793 J1352_2017",NA,-1.84784685803224,"negative",0,0,0.07756252855,"J793J1352",1,"Low",43,"J793J1352_2017",240.133333333333,6.27725612122202,"J793J1352_2018",2016,"J793J1352_2016",NA,NA,0.07756252855,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-1.83488532400738,1.14457831325301,-1.84784685803224,"J793 J1352",-0.00183973856376236,5,2,478.8,6,3,578.2,2.5,528.5,-0.111126969933803,0.49102662606658
"A",50,"A50",2019,"16/05/2019","Y35","J793","EY69525",11.1,0.0843,0.0648,64.8,3,2,0.25,1,424.1,0.0424,2.45,2.45,"Y","F",NA,"Y35_2019","2018",4,11,7,"J793_2017","J793_2018","J793_2019",NA,NA,NA,NA,42.7,246.9,42.7,246.9,"Y35","Y35_2018","owner","J1352","J1352","J1352","J793 J1352","J793 J1352","J793 J1352_2018",0.07756252855,13.4317058133878,"positive",1,0,0.093272187125,"J793J1352",1,"Low",43,"J793J1352_2018",240.133333333333,6.27725612122202,"J793J1352_2019",2017,"J793J1352_2017",NA,0.07756252855,0.1089818457,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,13.4446673474127,2.14457831325301,13.4317058133878,"J793 J1352",0.0138699200112376,6,3,578.2,5,2,394.4,2.5,486.3,0.814255324045471,0.920028836208961
"A",51,"A51",2019,"27/05/2019","Y35","J1352","EY69999",11.8,0.1006,0.0953,95.3,3,2,0.25,1,642.8,0.0643,2.53,2.53,"Y","M",0.6,"Y35_2019","2018",4,10,6,"J1352_2017","J1352_2018","J1352_2019",NA,NA,NA,NA,41.4,223.4,41.4,223.4,"Y35","Y35_2018","owner","J793","J793","J793","J793 J1352","J793 J1352","J793 J1352_2018",0.07756252855,-1.22926339853525,"negative",0,1,0.093272187125,"J793J1352",1,"Low",42.2846153846154,"J793J1352_2018",227.65,-1.02048110674539,"J793J1352_2019",2017,"J793J1352_2017",NA,0.07756252855,0.1089818457,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-1.21630186451039,1.14457831325301,-1.22926339853525,"J793 J1352",0.0138699200112376,6,3,578.2,5,2,394.4,2.5,486.3,-0.0736634267871723,0.49102662606658
"A",52,"A52",2017,"01/07/2017","Y35","J1352","EY69999",11.4,0.0962,0.0945,94.5,3,2,0.25,1,1185.9,0.1186,4.71,4.71,"Y","M",0.6,"Y35_2017","2016",6,10,4,"J1352_2015","J1352_2016","J1352_2017",41.3,225.8,NA,NA,42.1,221.5,41.7,223.65,"Y35","Y35_2016","owner","J793","J793","J793","J793 J1352","J793 J1352","J793 J1352_2016",NA,-3.01903973424533,"negative",0,1,0.000832618606,"J793J1352",1,"Low",42.2846153846154,"J793J1352_2016",227.65,-1.02048110674539,"J793J1352_2017",2015,"J793J1352_2015",0.0832618606,NA,NA,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-3.00607820022047,-0.855421686746988,-3.01903973424533,"J793 J1352",-0.0785696485077624,6,3,599.7,5,2,478.8,2.5,539.25,-0.182058441148237,-0.366977794218181
"A",53,"A53",2018,"20/05/2018","Y17","J792","EY69524",11.6,0.084,0.0761,76.1,3,2,0.25,1,444.3,0.0444,2.19,2.19,"Y","F",NA,"Y17_2018","2017",5,11,6,"J792_2016","J792_2017","J792_2018",NA,NA,NA,NA,39.8,199.2,39.8,199.2,"Y17","Y17_2017","owner","J312","J1895","J1895","J792 J312","J792 J1895","J792 J1895_2017",NA,-14.5504562747483,"negative",0,0,0.414281051,"J792J1895",2,"Low",40.325,"J792J1895_2017",200.55,-13.9158509148963,"J792J1895_2018",2016,"J792J312_2016",NA,NA,0.414281051,NA,2017,NA,0,2,1,2,5,"Low",NA,NA,NA,NA,-14.5374947407234,1.14457831325301,-14.5504562747483,"J792 J1895",0.334878783886238,4,2,404.9,5,2,371.8,2,388.35,-0.880440711922493,0.49102662606658
"A",54,"A54",2019,"15/05/2019","Y17","J792","EY69524",11.1,0.0831,0.0835,83.5,3,2,0.25,1,533.2,0.0533,2.39,2.39,"Y","F",NA,"Y17_2019","2018",4,11,7,"J792_2017","J792_2018","J792_2019",NA,NA,NA,NA,40.1,199,40.1,199,"Y17","Y17_2018","owner","J1895","J1895","J1895","J792 J1895","J792 J1895","J792 J1895_2018",0.414281051,-16.7902326104584,"negative",0,0,0.2593856479,"J792J1895",2,"Low",40.325,"J792J1895_2018",200.55,-13.9158509148963,"J792J1895_2019",2017,"J792J1895_2017",NA,0.414281051,0.1044902448,NA,2017,NA,1,1,1,1,3,"Low",NA,NA,NA,NA,-16.7772710764335,2.14457831325301,-16.7902326104584,"J792 J1895",0.179983380786238,5,2,371.8,5,2,404.4,2,388.1,-1.01608927494729,0.920028836208961
"A",55,"A55",2018,"20/05/2018","Y16","J1319","EY69816",11.1,0.0841,0.085,85,3,2,0.25,1,432.9,0.0433,1.91,1.91,"Y","F",NA,"Y16_2018","2017",5,10,5,"J1319_2016","J1319_2017","J1319_2018",NA,NA,NA,NA,42.2,217.6,42.2,217.6,"Y16","Y16_2017","owner","J416","J416","J416","J1319 J416","J1319 J416","J1319 J416_2017",NA,-12.4686669604288,"negative",0,0,0.02985090814,"J1319J416",2,"Low",41.9,"J1319J416_2017",214.966666666667,-10.9158595447207,"J1319J416_2018",2016,"J1319J416_2016",NA,NA,0.02985090814,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-12.4557054264039,0.144578313253012,-12.4686669604288,"J1319 J416",-0.0495513589737624,4,2,442.7,4,2,445.8,2,444.25,-0.754360386621485,0.0620244159241996
"A",56,"A56",2019,"15/05/2019","Y16","J1319","EY69816",11.3,0.0773,0.0774,77.4,3,2,0.25,1,410.6,0.0411,1.99,1.99,"Y","F",NA,"Y16_2019","2018",4,10,6,"J1319_2017","J1319_2018","J1319_2019",NA,NA,NA,NA,42.3,212.6,42.3,212.6,"Y16","Y16_2018","owner","J416","J416","J416","J1319 J416","J1319 J416","J1319 J416_2018",0.02985090814,-18.1485924056654,"negative",0,0,0.044087554795,"J1319J416",2,"Low",41.9,"J1319J416_2018",214.966666666667,-10.9158595447207,"J1319J416_2019",2017,"J1319J416_2017",NA,0.02985090814,0.05832420145,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-18.1356308716405,1.14457831325301,-18.1485924056654,"J1319 J416",-0.0353147123187624,4,2,445.8,2,2,461.5,2,453.65,-1.09835621890627,0.49102662606658
"A",57,"A57",2018,"01/06/2018","Y16","J416","EY40616",12.4,0.1105,0.1006,100.6,3,2,0.25,1,719.9,0.072,2.68,2.68,"Y","M",0,"Y16_2018","2017",5,12,7,"J416_2016","J416_2017","J416_2018",NA,NA,NA,NA,44.8,261.8,44.8,261.8,"Y16","Y16_2017","owner","J1319","J1319","J1319","J1319 J416","J1319 J416","J1319 J416_2017",NA,14.0532714634175,"positive",1,1,0.02985090814,"J1319J416",2,"Low",44.35,"J1319J416_2017",247.525,3.88320110518204,"J1319J416_2018",2016,"J1319J416_2016",NA,NA,0.02985090814,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,14.0662329974424,2.14457831325301,14.0532714634175,"J1319 J416",-0.0495513589737624,4,2,442.7,4,2,445.8,2,444.25,0.851899478913897,0.920028836208961
"A",58,"A58",2018,"20/05/2018","Y07","J2403","EZ62146",11.5,0.091,0.0897,89.7,3,2,0.25,1,555.1,0.0555,2.32,2.32,"Y","F",0.333333333333333,"Y07_2018","2017",5,8,3,"J2403_2016","J2403_2017","J2403_2018",NA,NA,42.2,224,41.8,230.5,42,227.25,"Y06","Y06_2017","owner",NA,"UNM.Y06.17","J2965",NA,"J2403 UNM.Y06.17","J2403 UNM.Y06.17_2017",NA,-1.45881606995537,"negative",0,0,0.03804297991,"J2403UNM.Y06.17",4,"Medium",41.975,"J2403UNM.Y06.17_2017",229.3,2.87382258401782,"J2403J2965_2018",2016,"NA_2016",NA,NA,0.03804297991,NA,2020,NA,-3,1,2,1,4,"Medium",NA,NA,NA,NA,-1.44585453593051,-1.85542168674699,-1.45881606995537,"J2403 J2965",-0.0413592872037624,4,3,637.4,3,3,502.2,3,569.8,-0.0875659265681478,-0.795980004360561
"A",61,"A61",2018,"20/05/2018","Y09","J250","EY40922",11.9,0.0886,0.0828,82.8,3,2,0.25,1,456.2,0.0456,2.07,2.07,"Y","F",NA,"Y09_2018","2017",5,12,7,"J250_2016","J250_2017","J250_2018",NA,NA,NA,NA,43.7,236.8,43.7,236.8,"Y07","Y07_2017","owner","J290","J290","J290","J250 J290","J250 J290","J250 J290_2017",NA,-3.46754863897899,"negative",0,0,NA,"J250J290",3,"Medium",43.8,"J250J290_2017",232.8,-6.85502339445595,"J250J290_2018",2016,"J250J290_2016",NA,NA,NA,NA,2020,NA,-3,1,1,1,3,"Medium",NA,NA,NA,NA,-3.45458710495413,2.14457831325301,-3.46754863897899,"J250 J290",NA,5,2,457,4,2,525.6,2,491.3,-0.209221683951077,0.920028836208961
"A",71,"A71",2018,"14/05/2018","Z02","J39","EY40831",10.8,0.0827,0.0829,82.9,3,2,0.25,1,562.6,0.0563,2.54,2.54,"Z","F",NA,"Z02_2018","2017",5,12,7,"J39_2016","J39_2017","J39_2018",NA,NA,NA,NA,41.2,232.3,41.2,232.3,"Z02","Z02_2017","owner",NA,NA,"J267",NA,NA,"NA_2017",NA,9.03058749193809,"positive",1,0,0.1400456442,NA,2,"Low",42.1,"NA_2017",225.2,-2.13226275697353,"J39J267_2018",2016,"NA_2016",NA,NA,0.1400456442,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,9.04354902596295,2.14457831325301,9.03058749193809,"J39 J267",0.0606433770862376,4,0,0,5,0,0,0,0,0.547708452159932,0.920028836208961
"A",74,"A74",2018,"06/06/2018","Z06","J41","EY40833",11.5,0.0915,0.0873,87.3,3,2,0.25,1,1116.2,0.1116,4.79,4.79,"Z","F",3,"Z06_2018","2017",5,11,6,"J41_2016","J41_2017","J41_2018",NA,NA,NA,NA,42.3,223.7,42.3,223.7,"Z05","Z05_2017","owner","J1341","J323","J323","J41 J1341","J41 J323","J41 J323_2017",NA,-7.04859240566541,"negative",0,0,0.06718340717,"J41J323",2,"Low",41.6,"J41J323_2017",218.5,0.799928940566524,"J41J323_2018",2016,"J41J1341_2016",NA,NA,0.06718340717,NA,2017,NA,0,2,1,2,5,"Low",NA,NA,NA,NA,-7.03563087164055,1.14457831325301,-7.04859240566541,"J41 J323",-0.0122188599437624,5,1,281.4,5,3,589.4,2,435.4,-0.426102018534097,0.49102662606658
"A",76,"A76",2018,"07/06/2018","Z06","J323","EY40521",12.5,0.109,0.1014,101.4,3,2,0.25,1,772.5,0.0773,2.86,2.86,"Z","M",4.5,"Z06_2018","2017",5,12,7,"J323_2016","J323_2017","J323_2018",45.2,243,NA,NA,44.3,238.8,44.75,240.9,"Z05","Z05_2017","owner",NA,"J41","J41",NA,"J41 J323","J41 J323_2017",NA,-6.50676581396415,"negative",0,1,0.06718340717,"J41J323",2,"Low",45.125,"J41J323_2017",244.55,-4.70952800896435,"J41J323_2018",2016,"NA_2016",NA,NA,0.06718340717,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-6.49380427993929,2.14457831325301,-6.50676581396415,"J41 J323",-0.0122188599437624,5,1,281.4,5,3,589.4,2,435.4,-0.393287135458015,0.920028836208961
"A",79,"A79",2018,"07/06/2018","Z13","J837","EY69668",12.6,0.1152,0.1158,115.8,3,2,0.25,1,2410.2,0.241,7.81,7.81,"Z","M",1,"Z13_2018","2017",5,10,5,"J837_2016","J837_2017","J837_2018",NA,NA,NA,NA,45.1,249,45.1,249,"Z13","Z13_2017","owner","UNM.Z13.16","J2375","J2375","UNM.Z13.16 J837","J2375 J837","J2375 J837_2017",NA,-0.786504872292553,"negative",0,1,NA,"J2375J837",6,"High",44.98,"J2375J837_2017",258.4,13.3214256048201,"J2375J837_2018",2016,"UNM.Z13.16J837_2016",NA,NA,NA,NA,NA,NA,NA,2,1,2,5,"Medium",NA,NA,NA,NA,-0.773543338267693,0.144578313253012,-0.786504872292553,"J2375 J837",NA,5,1,239,5,3,687.8,2,463.4,-0.0468484466955286,0.0620244159241996
"A",84,"A84",2018,"20/05/2018","Z23","J796","EY69528",11.2,0.0902,0.0866,86.6,3,2,0.25,1,842.4,0.0842,3.65,3.65,"Z","F",NA,"Z23_2018","2017",5,11,6,"J796_2016","J796_2017","J796_2018",NA,NA,NA,NA,43.2,204.1,43.2,204.1,"Z23","Z23_2017","owner","J1346","J1346","J1346","J796 J1346","J796 J1346","J796 J1346_2017",NA,-32.7679214127956,"negative",0,0,NA,"J796J1346",7,"High",42.6333333333333,"J796J1346_2017",207.833333333333,-23.3648935452033,"J796J1346_2018",2016,"J796J1346_2016",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"High",NA,NA,NA,NA,-32.7549598787707,1.14457831325301,-32.7679214127956,"J796 J1346",NA,5,2,474,5,3,709.8,2.5,591.9,-1.98375309563293,0.49102662606658
"A",91,"A91",2018,"04/06/2018","Z27","J899","EY69730",12,0.108,0.091,91,3,2,0.25,1,874.6,0.0875,3.6,3.6,"Z","M",4.66666666666667,"Z27_2018","2017",5,9,4,"J899_2016","J899_2017","J899_2018",NA,NA,NA,NA,44.8,251.1,44.8,251.1,"Z27","Z27_2017","owner","J692","J692","J692","J692 J899","J692 J899","J692 J899_2017",NA,3.35327146341752,"positive",1,1,0.1545230857,"J692J899",2,"Low",44.18,"J692J899_2017",239.32,-0.0980159630162292,"J692J899_2018",2016,"J692J899_2016",NA,NA,0.1545230857,NA,2016,NA,1,1,1,1,3,"Medium",NA,NA,NA,NA,3.36623299744238,-0.855421686746988,3.35327146341752,"J692 J899",0.0751208185862376,4,1,265.1,4,2,592.3,1.5,428.7,0.203870655131715,-0.366977794218181
"A",94,"A94",2019,"05/06/2019","Z33","J1458","EZ25615",11.8,0.1036,0.0949,94.9,3,2,0.25,1,677,0.0677,2.68,2.68,"Z","M",NA,"Z33_2019","2018",4,8,4,"J1458_2017","J1458_2018","J1458_2019",NA,NA,NA,NA,39.9,218.3,39.9,218.3,NA,"NA_2018","non-owner",NA,NA,"J1908",NA,NA,"NA_2018",NA,3.869618280015,"positive",1,1,0.00992585573,NA,NA,NA,40.8,"NA_2018",200.26,6.91483924447436,"J1908J1458_2019",2017,"NA_2017",NA,NA,0.00992585573,2019,NA,-1,NA,1,1,1,3,NA,NA,NA,NA,NA,3.88257981403986,-0.855421686746988,3.869618280015,"J1908 J1458",-0.0694764113837624,NA,NA,NA,4,2,421.9,2,421.9,0.235142395339504,-0.366977794218181
"A",97,"A97",2018,"04/06/2018","Y07","J1896","EZ25876",12.7,0.1159,0.1029,102.9,3,2,0.25,1,652.6,0.0653,2.38,2.38,"Y","M",3,"Y07_2018","2017",5,9,4,"J1896_2016","J1896_2017","J1896_2018",NA,NA,NA,NA,NA,NA,NA,NA,"Y08","Y08_2017","owner","J1349","J1349","J1349","J1349 J1896","J1349 J1896","J1349 J1896_2017",NA,NA,NA,NA,1,0.2371046782,"J1349J1896",4,"Medium",44.4333333333333,"J1349J1896_2017",237.066666666667,-7.17918912214555,"J1349J1896_2018",2016,"J1349J1896_2016",NA,NA,0.2371046782,NA,2020,NA,-3,1,1,1,3,"Medium",NA,NA,NA,NA,-7.16622758812069,-0.855421686746988,-7.17918912214555,"J1349 J1896",0.157702411086238,5,3,649.9,4,2,455.4,2.5,552.65,-0.434011405129465,-0.366977794218181
"A",98,"A98",2019,"27/05/2019","Y12","J469","EY40670",11.9,0.102,0.0893,89.3,3,2,0.25,1,460,0.046,1.93,1.93,"Y","M",2,"Y12_2019","2018",4,12,8,"J469_2017","J469_2018","J469_2019",NA,NA,NA,NA,44.4,258.6,44.4,258.6,"Y19","Y19_2018","owner","J1903","J1903","J1903","J1903 J469","J1903 J469","J1903 J469_2018",NA,13.5729732443643,"positive",1,1,0.061666186,"J1903J469",1,"Low",44.4,"J1903J469_2018",249.9,5.89576696878552,"J1903J469_2019",2017,"J1903J469_2017",NA,NA,0.061666186,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,13.5859347783892,3.14457831325301,13.5729732443643,"J1903 J469",-0.0177360811137624,2,2,391.2,5,1,269.3,1.5,330.25,0.822810965833736,1.34903104635134
"A",16,"A16",2015,"09/06/2015","Z20","J1358","EY70000",11.1,0.0856,0.0731,73.1,3,2,0.25,1,832.3,0.0832,4.27,4.27,"Z","F",NA,"Z20_2015","2014",8,10,2,"J1358_2013","J1358_2014","J1358_2015",NA,NA,NA,NA,43.1,252,43.1,252,NA,"NA_2014","non-owner",NA,NA,"J234",NA,NA,"NA_2014",NA,15.8120040324411,"positive",1,0,NA,NA,NA,NA,43.1,"NA_2014",252,17.4190545150956,"J1358J234_2015",2013,"NA_2013",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,15.824965566466,-2.85542168674699,15.8120040324411,"J1358 J234",NA,NA,NA,NA,5,2,406.3,2,406.3,0.958414375928081,-1.22498221450294
"A",23,"A23",2015,"13/06/2015","Z03","J1363","EZ25520",12.5,0.1066,0.1027,102.7,3,2,0.25,1,468.6,0.0469,1.71,1.71,"Z","M",1,"Z03_2015","2014",8,10,2,"J1363_2013","J1363_2014","J1363_2015",NA,NA,NA,NA,43.6,245,43.6,245,NA,"NA_2014","non-owner",NA,NA,"J795",NA,NA,"NA_2014",NA,5.41237680625769,"positive",1,1,NA,NA,NA,NA,43.8333333333333,"NA_2014",245.1,5.2033538479463,"J795J1363_2015",2013,"NA_2013",NA,NA,NA,NA,2020,NA,-6,1,1,1,3,NA,NA,NA,NA,NA,5.42533834028255,-2.85542168674699,5.41237680625769,"J795 J1363",NA,NA,NA,NA,5,3,649,3,649,0.328577161053615,-1.22498221450294
"A",24,"A24",2015,"06/06/2015","Y35","J1352","EY69999",11.9,0.1025,0.1035,103.5,3,2,0.25,1,806.7,0.0807,2.92,2.92,"Y","M",0.6,"Y35_2015","2014",8,10,2,"J1352_2013","J1352_2014","J1352_2015",NA,NA,NA,NA,41.3,225.8,41.3,225.8,NA,"NA_2014","non-owner",NA,NA,"J793",NA,NA,"NA_2014",NA,1.85066204670144,"positive",1,1,0.0832618606,NA,NA,NA,42.2846153846154,"NA_2014",227.65,-1.02048110674539,"J793J1352_2015",2013,"NA_2013",NA,NA,0.0832618606,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,1.8636235807263,-2.85542168674699,1.85066204670144,"J793 J1352",0.00385959348623764,NA,NA,NA,5,4,891,4,891,0.112867457662692,-1.22498221450294
"A",29,"A29",2015,"16/06/2015","Y22","J510","EY40714",10.6,0.0791,0.0659,65.9,3,2,0.25,1,1560.7,0.1561,8.88,8.88,"Y","F",NA,"Y22_2015","2014",8,10,2,"J510_2013","J510_2014","J510_2015",39.6,176.9,NA,NA,39.8,199.6,39.7,188.25,NA,"NA_2014","non-owner",NA,NA,"J516",NA,NA,"NA_2014",NA,-24.8205308295117,"negative",0,0,0.00823417769,NA,NA,NA,39.7,"NA_2014",194.955555555556,-10.4174353398754,"J510J516_2015",2013,"NA_2013",NA,NA,0.00823417769,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-24.8075692954868,-2.85542168674699,-24.8205308295117,"J510 J516",-0.0711680894237624,NA,NA,NA,3,2,472.4,2,472.4,-1.50243177116349,-1.22498221450294
"A",34,"A34",2015,"21/05/2015","Y16","J1319","EY69816",10.8,0.072,0.07,70,3,2,0.25,1,326.6,0.0327,1.75,1.75,"Y","F",NA,"Y16_2015","2014",8,10,2,"J1319_2013","J1319_2014","J1319_2015",NA,NA,NA,NA,41.2,214.7,41.2,214.7,NA,"NA_2014","non-owner",NA,NA,"J416",NA,NA,"NA_2014",NA,-8.56941250806193,"negative",0,0,0.08865470224,NA,NA,NA,41.9,"NA_2014",214.966666666667,-10.9158595447207,"J1319J416_2015",2013,"NA_2013",NA,NA,0.08865470224,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-8.55645097403707,-2.85542168674699,-8.56941250806193,"J1319 J416",0.00925243512623763,NA,NA,NA,5,2,438.9,2,438.9,-0.518208117799547,-1.22498221450294
